分类: 台湾, 名称: 三立新聞, 有效: 0, IPv4: 1, IPv6: 1, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 澳门, 名称: 澳门卫视, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 澳门, 名称: 澳视资讯, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 台湾, 名称: 中天新聞, 有效: 1, IPv4: 0, IPv6: 1, 最小延迟: 845 ms, 最高速率: 1.81 M/s, 平均速率: 1.81 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 台湾, 名称: 民視新聞, 有效: 1, IPv4: 0, IPv6: 2, 最小延迟: 1040 ms, 最高速率: 1.15 M/s, 平均速率: 1.15 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 台湾, 名称: 台視新聞, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 台湾, 名称: 寰宇新聞, 有效: 1, IPv4: 0, IPv6: 1, 最小延迟: 813 ms, 最高速率: 1.33 M/s, 平均速率: 1.33 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 台湾, 名称: 中視新聞, 有效: 1, IPv4: 0, IPv6: 1, 最小延迟: 993 ms, 最高速率: 1.07 M/s, 平均速率: 1.07 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 台湾, 名称: DaAi2, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 台湾, 名称: Taiwan Plus TV, 有效: 1, IPv4: 0, IPv6: 2, 最小延迟: 973 ms, 最高速率: 1.03 M/s, 平均速率: 1.03 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 台湾, 名称: DaAi1, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 479 ms, 最高速率: 1.40 M/s, 平均速率: 1.40 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 美国/国际新闻, 名称: DW, 有效: 1, IPv4: 0, IPv6: 1, 最小延迟: 766 ms, 最高速率: 1.34 M/s, 平均速率: 1.34 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 美国/国际新闻, 名称: Bloomberg, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🎬影视频道, 名称: CHC动作电影, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🎬影视频道, 名称: CHC家庭影院, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 美国/国际新闻, 名称: VOA美国之音, 有效: 1, IPv4: 0, IPv6: 1, 最小延迟: 2815 ms, 最高速率: 2.60 M/s, 平均速率: 2.60 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🎬影视频道, 名称: CHC高清电影, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 台湾, 名称: TVBS, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 10605 ms, 最高速率: 0.22 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
